Fungal infection,Allergy,Drug Reaction,AIDS,Diabetes ,Gastroenteritis,Bronchial Asthma,Hypertension ,Migraine,Jaundice,Malaria,Chicken pox,Dengue,Typhoid,hepatitis A,Hepatitis B,Hepatitis C,Alcoholic hepatitis,Tuberculosis,Common Cold,Pneumonia,Heart attack,Hypoglycemia,Arthritis,Acne,Urinary tract infection
itching, shivering,itching, patches_in_throat, fatigue, vomiting, cough, chest_pain, indigestion,itching, chills, skin_rash, skin_rash, chills, joint_pain,itching, fatigue, vomiting, chills, continuous_sneezing, chills, vomiting, vomiting, muscle_weakness, skin_rash, burning_micturition
 skin_rash, chills, stomach_pain, high_fever, weight_loss, sunken_eyes, high_fever, dizziness, headache, vomiting, vomiting, fatigue, chills, vomiting, vomiting, fatigue, yellowish_skin, yellowish_skin, vomiting, chills, fatigue, breathlessness, fatigue, stiff_neck, pus_filled_pimples, bladder_discomfort
 nodal_skin_eruptions, watering_from_eyes, burning_micturition, extra_marital_contacts, restlessness, dehydration, breathlessness, loss_of_balance, blurred_and_distorted_vision, fatigue, high_fever, lethargy, joint_pain, fatigue, yellowish_skin, lethargy, nausea, abdominal_pain, fatigue, fatigue, cough, sweating, anxiety, swelling_joints, blackheads, foul_smell_of urine
 dischromic _patches, continuous_sneezing, spotting_ urination, muscle_wasting, lethargy, diarrhoea, family_history, lack_of_concentration, excessive_hunger, weight_loss, sweating, high_fever, vomiting, high_fever, dark_urine, yellowish_skin, loss_of_appetite, swelling_of_stomach, weight_loss, cough, high_fever, chest_pain, sweating, movement_stiffness, scurring, continuous_feel_of_urine
None,None, skin_rash,None, irregular_sugar_level,None, mucoid_sputum, headache, stiff_neck, high_fever, headache, headache, fatigue, headache, nausea, dark_urine, yellowing_of_eyes, distention_of_abdomen, cough, high_fever, breathlessness,None, headache, painful_walking,None,None
None,None,None,None, blurred_and_distorted_vision,None, fatigue,None, depression, yellowish_skin, nausea, loss_of_appetite, high_fever, constipation, loss_of_appetite, loss_of_appetite, family_history, history_of_alcohol_consumption, high_fever, headache, sweating,None, nausea,None,None,None
None,None,None,None, obesity,None,None,None, irritability, dark_urine, diarrhoea, mild_fever, headache, abdominal_pain, abdominal_pain, abdominal_pain,None, fluid_overload, breathlessness, swelled_lymph_nodes, malaise,None, blurred_and_distorted_vision,None,None,None
None,None,None,None, excessive_hunger,None,None,None, visual_disturbances, abdominal_pain, muscle_pain, swelled_lymph_nodes, nausea, diarrhoea, diarrhoea, yellow_urine,None,None, sweating, malaise, phlegm,None, excessive_hunger,None,None,None
None,None,None,None, increased_appetite,None,None,None, acidity,None,None, malaise, loss_of_appetite, toxic_look_(typhos), mild_fever, yellowing_of_eyes,None,None, loss_of_appetite, phlegm, chest_pain,None, drying_and_tingling_lips,None,None,None
None,None,None,None, polyuria,None,None,None,None,None,None, red_spots_over_body, pain_behind_the_eyes, belly_pain, yellowing_of_eyes, malaise,None,None, mild_fever, throat_irritation, fast_heart_rate,None, slurred_speech,None,None,None
None,None,None,None,None,None,None,None,None,None,None,itching, back_pain, nausea, muscle_pain, receiving_blood_transfusion,None,None, yellowing_of_eyes, redness_of_eyes, rusty_sputum,None, irritability,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None, malaise,None,None, receiving_unsterile_injections,None,None, swelled_lymph_nodes, sinus_pressure,None,None, palpitations,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None, red_spots_over_body,None,None,None,None,None, malaise, runny_nose,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None, muscle_pain,None,None,None,None,None, phlegm, congestion,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None, chest_pain, chest_pain,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None, blood_in_sputum, loss_of_smell,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None, muscle_pain,None,None,None,None,None,None
